cislo,spol,ico,sektor,nace,druh,zeme,inv_eur,inv_usd,inv_czk,nova_mista,pod_dane,pob_mista,pob_rekv,pob_pozem,pob_kap,mira_podpory,strop,okres,kraj,region_nuts,podani,rozh_den,rozh_mesic,rozh_rok,msp,zruseno
1,"Hayes Lemmerz Alukola, s.r.o.",25823621,výroba dopravních prostředků,,výroba,Itálie,23.54121204154069,26.000058075381844,895.39,227.0,T,J,R,,,0.5,,Ostrava,Moravskoslezský,,1998,,červenec,1998,False,False
2,AEG components s.r.o.,25610562,elektronický a elektrotechnický,,výroba,Německo,22.78953595372683,25.169870491898482,866.8,245.0,T,,R,,,0.5,,Jičín,Královéhradecký,,1998,,červenec,1998,False,False
3,"Showa Aluminium Czech, s.r.o.",25149318,výroba dopravních prostředků,,výroba,Japonsko,23.79255948468516,26.277658400603983,904.95,197.0,T,J,R,,,0.5,,Kladno,Středočeský,,1998,,září,1998,False,False
4,Toray Textiles Central  Europe s.r.o.,25500040,textilní,,výroba,Japonsko,43.64401209412384,48.20256693187758,1660,340.0,T,J,R,,,0.5,,Prostějov,Olomoucký,,1998,,září,1998,False,False
5,ŠKODA AUTO a.s.,177041,výroba dopravních prostředků,,výroba,Německo,499.4347311686605,551.5999767698472,18996,600.0,T,,R,,,0.045,,Mladá Boleslav,Středočeský,,1998,,prosinec,1998,False,False
6,PEGAS – DS a.s.,25554247,textilní,,výroba,Česká republika,19.758117523333773,21.82182472849759,751.5,40.0,T,J,R,,,0.5,,Znojmo,Jihomoravský,,1998,,leden,1999,False,False
7,HELLA AUTOTECHNIK NOVA s.r.o.,25834151,výroba dopravních prostředků,,výroba,Německo,31.61824635204417,34.9207271037807,1202.6,110.0,T,J,R,,,0.5,,Šumperk,Olomoucký,,1998,,leden,1999,False,False
8,AVX Czech Republic s.r.o.,46508171,elektronický a elektrotechnický,,výroba,Velká Británie,48.8931247535165,53.999941924618156,1859.65,1100.0,,,R,,,0.5,,Ústí nad Orlicí,Pardubický,,1998,,duben,1999,False,False
9,"VERTEX FABRICS, s.r.o.",25918966,ostatní,,výroba,Německo,23.078691875319368,26.9498773453557,812.97,105.0,T,J,R,,,0.5,,Svitavy,Pardubický,,1999,,červen,1999,False,False
10,EGRES a.s.,25401297,ostatní,,výroba,Itálie,13.281950831771987,15.509845521447987,467.87,100.0,T,J,R,,,0.5,,Ústí nad Labem,Ústecký,,1999,,červen,1999,False,False
11,Lucas Varity s.r.o.,25402081,výroba dopravních prostředků,,výroba,Francie,37.02889910861296,43.24007160379235,1304.38,265.0,T,J,R,,,0.5,,Jablonec nad Nisou,Liberecký,,1999,,červen,1999,False,False
12,Flextronics International s.r.o.,25559834,elektronický a elektrotechnický,,výroba,Nizozemí,16.185204110600125,18.90008618975005,570.14,345.0,T,,R,,,0.5,,Brno,Jihomoravský,,1999,,červen,1999,False,True
13,"Celestica Ráječko, s.r.o.",25765817,elektronický a elektrotechnický,,výroba,Kanada,50.78180889115994,59.29987403036531,1788.84,812.0,T,J,R,,,0.5,,Blansko,Jihomoravský,,1999,,červenec,1999,False,False
