datum_vzniku,datum_zaniku,esa,esa_kod,ico,kpf,kpp,nazev_obce,npf,nuts4,nuts4k,of
1998-10-26,2011-01-01,,,25823621,112,250 - 499 zaměstnanců,Slezská Ostrava,Společnost s ručením omezeným,Ostrava-město,CZ0806,"Hayes Lemmerz Alukola, s.r.o."
1997-09-29,,Nefinanční podniky soukromé národní,11002,25610562,121,200 - 249 zaměstnanců,Jičín,Akciová společnost,Jičín,CZ0522,HYDRA a.s.
1997-08-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25149318,112,250 - 499 zaměstnanců,Kladno,Společnost s ručením omezeným,Kladno,CZ0203,"Keihin Thermal Technology Czech, s.r.o."
1997-09-05,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25500040,112,250 - 499 zaměstnanců,Prostějov,Společnost s ručením omezeným,Prostějov,CZ0713,Toray Textiles Central Europe s.r.o.
1990-11-13,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,00177041,121,10 000 a více zam.,Mladá Boleslav,Akciová společnost,Mladá Boleslav,CZ0207,ŠKODA AUTO a.s.
1999-02-15,2011-10-01,,,25554247,121,50 - 99 zaměstnanců,Znojmo,Akciová společnost,Znojmo,CZ0647,PEGAS - DS a.s.
1999-03-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25834151,112,2000 - 2499 zaměstnanců,Mohelnice,Společnost s ručením omezeným,Šumperk,CZ0715,"HELLA AUTOTECHNIK NOVA, s.r.o."
1992-06-02,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46508171,112,3000 - 3999 zaměstnanců,Lanškroun,Společnost s ručením omezeným,Ústí nad Orlicí,CZ0534,AVX Czech Republic s.r.o.
1999-04-06,2012-07-28,,,25918966,112,250 - 499 zaměstnanců,Litomyšl,Společnost s ručením omezeným,Svitavy,CZ0533,SAINT-GOBAIN ADFORS CZ Fabrics s.r.o.
1999-04-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25401297,121,Neuvedeno,Praha 5,Akciová společnost,Praha,CZ0100,EGRES a.s. v likvidaci
1999-05-07,2010-10-01,,,25402081,112,1000 - 1499 zaměstnanců,Jablonec nad Nisou,Společnost s ručením omezeným,Jablonec nad Nisou,CZ0512,Lucas Varity s.r.o.
1999-04-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25559834,112,100 - 199 zaměstnanců,Brno-Medlánky,Společnost s ručením omezeným,Brno-město,CZ0642,Flextronics International  s.r.o.
1999-05-24,2013-08-07,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25765817,112,1 - 5 zaměstnanců,Kladno,Společnost s ručením omezeným,Kladno,CZ0203,"Celestica Czech Republic, s.r.o. v likvidaci"
1998-11-23,2006-11-01,,,25712519,112,1000 - 1499 zaměstnanců,Kladno,Společnost s ručením omezeným,Kladno,CZ0203,"Celestica Kladno, s.r.o."
1994-11-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,61538949,113,1 - 5 zaměstnanců,Litvínov,Společnost komanditní,Most,CZ0425,SCHOELLER LITVÍNOV k.s.
1999-10-07,2012-05-11,,,26118793,112,250 - 499 zaměstnanců,Kladno,Společnost s ručením omezeným,Kladno,CZ0203,Barco Manufacturing s.r.o. v likvidaci
1999-10-20,,Nefinanční podniky soukromé národní,11002,26122219,112,50 - 99 zaměstnanců,Loděnice,Společnost s ručením omezeným,Beroun,CZ0202,GZ Recordable s.r.o.
1999-02-02,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25733770,112,250 - 499 zaměstnanců,Otrokovice,Společnost s ručením omezeným,Zlín,CZ0724,"Continental výroba pneumatik, s.r.o."
1999-12-17,2005-07-15,,,25931504,112,50 - 99 zaměstnanců,Častolovice,Společnost s ručením omezeným,Rychnov nad Kněžnou,CZ0524,SAINT-GOBAIN ORSILA s.r.o.
1993-04-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48399108,112,250 - 499 zaměstnanců,Nový Jičín,Společnost s ručením omezeným,Nový Jičín,CZ0804,Hanon Systems Autopal Services s.r.o.
1999-07-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25569341,112,500 - 999 zaměstnanců,Šumperk,Společnost s ručením omezeným,Šumperk,CZ0715,EPCOS s.r.o.
1992-04-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46352562,121,100 - 199 zaměstnanců,Mladá Boleslav,Akciová společnost,Mladá Boleslav,CZ0207,"Fiamm Automotive Czech, a.s."
1999-12-10,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25850075,112,500 - 999 zaměstnanců,Šternberk,Společnost s ručením omezeným,Olomouc,CZ0712,Robertshaw s.r.o.
1991-01-01,,Nefinanční podniky soukromé národní,11002,00012190,121,2500 - 2999 zaměstnanců,Praha 10,Akciová společnost,Praha,CZ0100,MITAS a.s.
1991-10-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,14864576,121,1000 - 1499 zaměstnanců,Teplice,Akciová společnost,Teplice,CZ0426,"AGC Flat Glass Czech a.s., člen AGC Group"
1996-03-13,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,64833054,112,1000 - 1499 zaměstnanců,Plzeň 3,Společnost s ručením omezeným,Plzeň-město,CZ0323,"Panasonic AVC Networks Czech, s.r.o."
2000-04-03,,Nefinanční podniky soukromé národní,11002,26166453,112,100 - 199 zaměstnanců,Humpolec,Společnost s ručením omezeným,Pelhřimov,CZ0633,"CTP Invest, spol. s r.o."
1993-06-23,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48910791,112,2000 - 2499 zaměstnanců,Kuřim,Společnost s ručením omezeným,Brno-venkov,CZ0643,Tyco Electronics Czech s.r.o.
2000-03-14,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25415123,112,500 - 999 zaměstnanců,Chomutov,Společnost s ručením omezeným,Chomutov,CZ0422,Parker Hannifin Industrial s.r.o.
1992-05-01,,Nefinanční podniky soukromé národní,11002,46900411,121,1500 - 1999 zaměstnanců,Kostelec,Akciová společnost,Jihlava,CZ0632,Kostelecké uzeniny a.s.
1992-04-16,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46709410,112,500 - 999 zaměstnanců,Česká Lípa,Společnost s ručením omezeným,Česká Lípa,CZ0511,Johnson Controls Autobaterie spol. s r.o.
2000-02-15,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25413783,112,1 - 5 zaměstnanců,Podbořany,Společnost s ručením omezeným,Louny,CZ0424,"CONTA,s.r.o."
2000-01-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26021145,112,500 - 999 zaměstnanců,České Budějovice,Společnost s ručením omezeným,České Budějovice,CZ0311,VISCOFAN CZ s.r.o.
1994-08-18,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,61173614,112,500 - 999 zaměstnanců,Klatovy,Společnost s ručením omezeným,Klatovy,CZ0322,Rodenstock ČR s.r.o.
1994-10-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,62417690,112,250 - 499 zaměstnanců,Jihlava,Společnost s ručením omezeným,Jihlava,CZ0632,"KRONOSPAN CR,spol. s r.o."
2000-02-28,2011-07-01,,,25592335,112,200 - 249 zaměstnanců,Břeclav,Společnost s ručením omezeným,Břeclav,CZ0644,OTIS Escalators s.r.o.
1999-12-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25931857,112,500 - 999 zaměstnanců,Červený Kostelec,Společnost s ručením omezeným,Náchod,CZ0523,Saar Gummi Czech s.r.o.
2000-09-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26199394,112,250 - 499 zaměstnanců,Klášterec nad Ohří,Společnost s ručením omezeným,Chomutov,CZ0422,"Pittsburgh Corning CR, s.r.o."
2000-10-19,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25249959,112,100 - 199 zaměstnanců,Plzeň 3,Společnost s ručením omezeným,Plzeň-město,CZ0323,Precision Castparts CZ s.r.o.
1995-04-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,62741772,121,500 - 999 zaměstnanců,Litvínov,Akciová společnost,Most,CZ0425,"ČESKÁ RAFINÉRSKÁ, a.s."
1994-06-08,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60710756,121,500 - 999 zaměstnanců,Brno-Černovice,Akciová společnost,Brno-město,CZ0642,"Nová Mosilana, a.s."
2000-10-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26203901,112,500 - 999 zaměstnanců,Horní Počaply,Společnost s ručením omezeným,Mělník,CZ0206,DANZER BOHEMIA-DÝHÁRNA s.r.o.
1992-01-05,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,45272972,121,100 - 199 zaměstnanců,Praha 3,Akciová společnost,Praha,CZ0100,Danone a.s.
1998-12-21,2008-02-26,,,25298208,112,100 - 199 zaměstnanců,Trutnov,Společnost s ručením omezeným,Trutnov,CZ0525,Infineon Technologies Trutnov s.r.o. v likvidaci
2000-01-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26144999,121,1 - 5 zaměstnanců,Praha 11,Akciová společnost,Praha,CZ0100,UNIPLET a.s.
1994-08-10,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,61173151,113,1500 - 1999 zaměstnanců,Blatná,Společnost komanditní,Strakonice,CZ0316,"DURA Automotive CZ, k.s."
2000-05-25,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26178435,112,200 - 249 zaměstnanců,Plzeň 3,Společnost s ručením omezeným,Plzeň-město,CZ0323,DAIHO (CZECH) s.r.o.
2000-09-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26198436,112,500 - 999 zaměstnanců,Louny,Společnost s ručením omezeným,Louny,CZ0424,"Aisan Industry Czech, s.r.o."
1991-04-01,2004-01-01,,,14803011,121,1000 - 1499 zaměstnanců,Rakovník,Akciová společnost,Rakovník,CZ020C,RAKO a.s.
